Timestamp,Q1: The goals of the lab and homework were clearly defined and communicated,Q2: The instructions of the lab and homework were clearly defined and easy to follow,"Q3: If you answered somewhat disagree or disagree to the previous question, what was unclear about the instructions?",Q4: How was the difficulty of this homework assignment compared to the previous ones?,Q5: The technical setup process was easy,Q6: How long did completing the homework take you?,Q7: The concept of metamorphic testing was understandable after completing this lab,Q8: Do you think testing AI/ML systems should be a larger part of the Software Testing course?,"Q9: Overall, what I learned in the lab is relevant for working in the software industry","Q10: Additional feedback:
Please feel free to share any feedback you have about this lab. You can answer one or more of the following questions, or comment on anything else you found important:

- What was the most difficult part of this lab?

- What would you improve in the lab structure, materials, or tasks?

- Would you recommend keeping this lab in future versions of the course? Why or why not?"
4/15/2025 9:39:42,Somewhat agree,Somewhat disagree,Techinal setup instructions were lacking,About the same difficulty,Somewhat disagree,Over 10 hours,Agree,No,Somewhat agree,Every homework takes so damn long
4/15/2025 9:43:05,Agree,Agree,,Easier than previous assignments,Agree,2-5 hours,Agree,No,Agree,"Most difficult part was making modifications to images.
Instructions how to calculste fi score for modified images, It was't hard to figure out, but at first I did it wrong.
I would recommend keeping it. Was fun for me. "
4/15/2025 9:50:56,Agree,Agree,"Environment setup (Python, Java) was confusing, Techinal setup instructions were lacking, Too much information at once, Didn't understand how to apply metamorphic testing",Slightly more difficult than previous assignments,Somewhat disagree,2-5 hours,Somewhat disagree,Yes,Agree,Yes keep definately. 
4/15/2025 10:01:20,Agree,Agree,,About the same difficulty,Agree,2-5 hours,Agree,Yes,Somewhat agree,"I think this lab was good and it should be definitely kept in future versions of the course. Tasks were easily understandable, examples were useful and completing the lab was actually interesting."
4/15/2025 10:13:02,Agree,Somewhat disagree,"Environment setup (Python, Java) was confusing",About the same difficulty,Somewhat disagree,2-5 hours,Agree,Yes,Somewhat agree,"First task was very easy and didn't take me a lot of time. But the second tasks setup was a little messy.  I tried to follow these orders: (If you have any issues, the following versions are known to work without compatibility problems: Tensorflow version 2.18.0, Numpy 2.2.1, Pandas 2.2.3, Matplotlib 3.10.0, Scikit-learn 1.6.1, Scipy 1.15.1, Pillow 11.1.0) but for me these didn't work and frankly I don't remember how I got this to work, but the task itself was fun. I liked the tasks scenarios, I think these made the tasks more interesting. "
4/15/2025 10:17:52,Somewhat agree,Agree,,About the same difficulty,Somewhat agree,2-5 hours,Somewhat agree,Yes,Somewhat agree,N/A
4/15/2025 10:22:25,Agree,Agree,,About the same difficulty,Agree,2-5 hours,Somewhat agree,Yes,Agree,"I liked the variation from usual homeworks where we had to use and test cnns. I would recommend keeping this lab, it was fun."
4/15/2025 10:23:04,Somewhat disagree,Disagree,"Environment setup (Python, Java) was confusing, Techinal setup instructions were lacking, Instructions were too vague or ambiguous",About the same difficulty,Disagree,2-5 hours,Agree,Yes,Disagree,The most difficult part was that the python code did not run. I would make both tasks in java/javascript. I would never recommend broken lab to anyone but my enemies.
4/15/2025 10:23:33,Agree,Somewhat agree,"Environment setup (Python, Java) was confusing, Techinal setup instructions were lacking",About the same difficulty,Somewhat agree,2-5 hours,Agree,Yes,Agree,"The most difficult part of the lab was setting up the environment, because there could be very many different reasons why the environment did not start at once. For example I had an issue with old Java version. Since we used outdated Java version in the previous lab, it should've been mentioned as one of the possible reasons for the environment set up issue."
4/15/2025 10:24:36,Somewhat agree,Somewhat agree,"Techinal setup instructions were lacking, Instructions were spread out or not easy to navigate, Too much information at once, Did not answer somewhat disagree or disagree",Slightly more difficult than previous assignments,Somewhat agree,2-5 hours,Agree,Yes,Somewhat agree,"I think that the overall homeworks would be nice to be a bit more down to earth etc. For example test real world problems, where you could actually understand the concept better and through that work on to bigger problems and harder codes."
4/15/2025 10:25:39,Agree,Somewhat disagree,"Techinal setup instructions were lacking, confusion with f1 score",Slightly more difficult than previous assignments,Somewhat agree,2-5 hours,Somewhat agree,Yes,Agree,"There was a major confusion with f1 score, did not know how to find it"
4/15/2025 10:25:57,Agree,Agree,,About the same difficulty,Somewhat agree,5-10 hours,Agree,Yes,Somewhat agree,"Yes, the lab covered metamorphic testing quite well"
4/15/2025 10:30:15,Somewhat agree,Somewhat agree,Instructions were too vague or ambiguous,Easier than previous assignments,Agree,2-5 hours,Agree,Yes,Agree,The most difficult part was the math part :D
4/15/2025 12:14:30,Agree,Somewhat agree,"Environment setup (Python, Java) was confusing",Much more difficult than previous assignments,Somewhat agree,Over 10 hours,Agree,No,Somewhat agree,I feel that for every week homeworks  are too timeconsuming
4/15/2025 12:15:16,Somewhat agree,Somewhat agree,,About the same difficulty,Somewhat agree,2-5 hours,Somewhat agree,Yes,Agree,"I feel like in Task B, it was unclear how to get F1 Scores. In Task B i also had issues figuring out why and how should i make a seperate table for each model."
4/15/2025 12:16:23,Somewhat agree,Somewhat agree,"Environment setup (Python, Java) was confusing, Techinal setup instructions were lacking, Instructions were spread out or not easy to navigate",Slightly more difficult than previous assignments,Somewhat disagree,2-5 hours,Somewhat agree,Yes,Somewhat agree,"Task B/2 setup was abit hard to understand, for example i did not find out how should i make the F1 scores."
4/15/2025 12:18:04,Agree,Somewhat agree,"Environment setup (Python, Java) was confusing, Techinal setup instructions were lacking, The example relations were unclear, Outdated versions and debugging a think what you don't really need to.",About the same difficulty,Somewhat disagree,2-5 hours,Somewhat agree,Yes,Agree,Trouble shooting the Python code to make it run and installing the correct packages.
4/15/2025 12:19:46,Agree,Agree,,Easier than previous assignments,Somewhat agree,2-5 hours,Agree,Yes,Somewhat agree,Would make guides to use the programs for updating images (eg rotating) rather than having us read a lot of documentation
4/15/2025 12:26:53,Agree,Agree,"Environment setup (Python, Java) was confusing, Techinal setup instructions were lacking",About the same difficulty,Somewhat agree,2-5 hours,Agree,Yes,Agree,This was fun and exciting lab
4/15/2025 14:50:48,Agree,Agree,,Easier than previous assignments,Somewhat agree,2-5 hours,Somewhat agree,No,Agree,I think the most difficult part was actually the setup. Once that was done it was smooth sailing
4/15/2025 16:00:08,Agree,Agree,,Easier than previous assignments,Somewhat agree,2-5 hours,Agree,Yes,Agree,"The only thing that confused me were the F1 values, because I thought I had to calculate something with the given ones, otherwise I really enjoyed the lab."
4/15/2025 16:33:11,Agree,Agree,,Easier than previous assignments,Agree,2-5 hours,Agree,No,Agree,The most difficult part of this lab was experimenting with different modifications to assess how severe the weather conditions need to be in order to distinguish one model's robustness from another's 
4/15/2025 21:46:37,Somewhat disagree,Somewhat agree,"Techinal setup instructions were lacking, Too much information at once, Didn't understand how to apply metamorphic testing, The example relations were unclear",Much more difficult than previous assignments,Somewhat disagree,5-10 hours,Somewhat disagree,No,Somewhat disagree,requires more effort figuring out how the system works than implementing metamorphic testing
4/16/2025 0:21:05,Agree,Agree,,Easier than previous assignments,Somewhat agree,Under 2 hours,Somewhat agree,Yes,Agree,Actually enjoyed just tweaking and editing existing code
4/16/2025 12:19:28,Somewhat agree,Agree,,Easier than previous assignments,Disagree,Under 2 hours,Agree,No,Somewhat agree,I liked doing it because it was easy to understand and a change of pace for usual homeworks which i haven't enjoyed
4/16/2025 12:20:46,Agree,Somewhat agree,,About the same difficulty,Somewhat agree,2-5 hours,Somewhat agree,No,Somewhat agree,"I'd recommend keeping this lab in future versions of the course, because we got to edit pictures."
4/16/2025 12:21:24,Agree,Somewhat agree,,About the same difficulty,Disagree,5-10 hours,Somewhat agree,No,Somewhat agree,-
